Organisation,Office_location,Latitude,Longitude,Website,Example_project_location,Program_name,Topic,More_info,ImageURL
Moluccas Coastal Care (MCC),"JL. Ot. Pattimaipauw Talake
Wainitu, Nusaniwe, Kota Ambon",-3.703846,128.171303,https://moluccascoastalcare.com/,Banda Neira,Kalesang School (Katong Preserve the Village),education,"https://moluccascoastalcare.com/project/;
https://www.goodnewsfromindonesia.id/2025/09/20/stefani-teria-salhuteru-dan-moluccas-coastal-care-jaga-pesisir-maluku",https://kiprahagroforestri.id/wp-content/uploads/2025/11/MCC.png
NABU (The Nature And Biodiversity Conservation Union),"Pohuwato, Gorontalo",0.538615,121.573463,https://en.nabu.de/topics/ecosystems/mangrove-conservation-sulawesi/index.html,Pohuwato,Sustainable Development and Mangrove Conservation in Tomini Bay,mangrove rehabilitation or restoration,https://en.nabu.de/topics/ecosystems/mangrove-conservation-sulawesi/index.html,https://kiprahagroforestri.id/wp-content/uploads/2025/11/NABU.png
Planet Indonesia,"Parit Tokaya, South Pontianak, Pontianak, West Kalimantan",-0.059623106,109.3386628,https://www.planetindonesia.org/,Kubu Raya,Restoring Forests in Kubu Raya,mangrove rehabilitation or restoration,https://www.planetindonesia.org/news/2023/8/7/how-planet-indonesia-is-protecting-nature-restoring-forests-and-improving-lives,https://kiprahagroforestri.id/wp-content/uploads/2025/11/Planet_Inonesia.png
Planete Urgence,"Jalan PM Noor, Pondok Surya Indah Blok CG No 2, Samarinda",-0.46296448,117.1670754,https://planete-urgence.org/en/our-national-delegations/indonesia/,"Pandeglang;
Kutai Kartanegara",MERCI Project – Indonesia; MAHAKAM Project – Indonesia,mangrove rehabilitation or restoration; advocacy,"https://planete-urgence.org/id/ekosistem-mangrove-dan-konservasi-badak-jawa/
https://planete-urgence.org/id/reforestasi-hutan-mangrove-dan-pembangunan-lokal/",https://kiprahagroforestri.id/wp-content/uploads/2025/11/planeteUrgence.png
Reforest'Action,Aceh and North Sumatera,4.014029178,98.38772149,https://www.reforestaction.com/en/magazine/aceh-sumatra-local-communities-restoring-mangrove,Aceh and North Sumatera,"Sustainable mangrove ecotourism development involving 89 local communities; 376,622 mangrove seedlings planted across 132.69 hectares in 16 villages, including Abeuk Geulanteu Village","mangrove ecotourism; advocacy;
mangrove rehabilitation or restoration",https://www.reforestaction.com/en/magazine/aceh-sumatra-local-communities-restoring-mangrove,https://kiprahagroforestri.id/wp-content/uploads/2025/11/REFOREST.jpg
Rekam Nusantara Foundation,"Jl. Sempur No.35, Sempur, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16129",-6.588568744,106.7981055,https://rekam.org/en/home,"Nusa Tenggara Barat;
Jawa Barat;
Banten
Demak;
Cilacap;
Jepara","Restoring mangrove and seagrass ecosystems to safeguard Indonesia’s coastlines; Collaboration between BRIN and Nusantara Nature Footprint Foundation in research, development, innovation, and mentoring for sustainable mangrove ecosystem rehabilitation and management","institutional strengthening and human resource capacity building; 
mangrove rehabilitation or restoration;
research","https://www.bluenaturalcapital.org/stories/mangrove-seagrass-restoration-central-java-west-nusa-tenggara-indonesia;
https://perikanan.org/id/kegiatan/dukung-tata-kelola-ekosistem-pesisir-frci-menyelenggarakan-pelatihan-google-earth-engine-di-ntb/show;
https://www.bluenaturalcapital.org/stories/mangrove-seagrass-restoration-central-java-west-nusa-tenggara-indonesia;
https://www.rmoljawatengah.id/15000-bibit-mangrove-di-tanam-di-pesisir-utara-onggojoyo-wedung;
https://www.brin.go.id/news/124416/brin-yayasan-rekam-jejak-alam-nusantara-perkuat-riset-konservasi-dan-rehabilitasi-mangrove",https://kiprahagroforestri.id/wp-content/uploads/2025/11/LOGO_REKAM_NUSANTARA.png
Seacrest Indonesia (SCI),"Jl. Taman Puri II No.16 Blok B1, Padangsari, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50267, Indonesia",-7.075594293,110.4272032,https://seacrestindonesia.org/,Sabu Raijua,Global Environment Facility – Small Grants Programme (GEF-SGP) from the United Nations Development Programme (UNDP),mangrove rehabilitation or restoration,https://kupang.tribunnews.com/2024/12/05/seacrest-indonesia-dorong-pemerintah-desa-di-raijua-berperan-dalam-penjagaan-ekosistem-mangrove,https://kiprahagroforestri.id/wp-content/uploads/2025/11/Seacrest.png
Sungai Watch,"Jl. Prof. Dr. Ida Bagus Mantra No.99, Ketewel, Kec. Sukawati, Kabupaten Gianyar, Bali",-8.627853865,115.2814759,https://sungai.watch/,Bali,"International Mangrove Day, PLN IP UBP Bali holds a Cleanup Action",coastal waste management,https://lintasbali.com/international-mangrove-day-pln-ip-ubp-bali-gelar-aksi-bersih-mangrove-bersama-sungai-watch/,https://kiprahagroforestri.id/wp-content/uploads/2025/11/Sungai_Watch.png
Wahana Visi Indonesia,"16, Jl. K.H. Wahid Hasyim No.33, RT.16/RW.6, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",-6.185980673,106.8304954,https://wahanavisi.org/id/search/submit_search?find=mangrove,"Surabaya;
Lombok",Mangrove Adaptive and Resilient Village for Enhanced Livelihoods (MARVEL); WVI-UGM Collaborative Research in the initial data collection for the MARVEL Program,coastal waste management; mangrove rehabilitation or restoration; research,"https://wahanavisi.org/id/search/submit_search?find=mangrove;
https://wahanavisi.org/userfiles/post/24112267403BA639AB8_LGID.pdf",https://kiprahagroforestri.id/wp-content/uploads/2025/11/wahanavisi.png
WALHI,"Jl. Tegal Parang Utara No.14 5, RT.5/RW.4, Mampang Prpt., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12790, Indonesia",-6.242587519,106.832277,https://www.walhi.or.id/,"Bantul;
Bandar Lampung","Planting 100 mangrove seedlings; Planting 1,000 mangrove seedlings; Policy Study entitled Policy Paper on Protection and Management of Mangrove Ecosystems in Indonesia",mangrove rehabilitation or restoration; research; advocacy,"https://walhijogja.or.id/wahana-lingkungan-hidup-indonesia-yogyakarta-bersama-sejumlah-elemen-melakukan-Penanaman-mangrove-di-pantai-baros/;
https://www.rmollampung.id/walhi-dan-mahusa-unila-tambah-1000-pohon-mangrove-di-pesisir-bandar-lampung;
https://www.walhi.or.id/kertas-posisi-perlindungan-dan-pengelolaan-ekosistem-mangrove-di-indonesia",https://kiprahagroforestri.id/wp-content/uploads/2025/11/WALHI.png
Waste4Change,"Kantor Waste4Change Vida Bumipala, Jl. Alun Alun Utara, RT.002/RW.001, Padurenan, Mustika Jaya, Bekasi, West Java 17156",-6.316783302,107.001045,https://waste4change.com/,Surabaya,"WINGS Peduli Foundation carries out Wonorejo River Cleanup with Waste4Change; Bank Mandiri involves 1,350 participants in Mandiri Cleanup Nationwide",coastal waste management,"https://marketing.co.id/yayasan-wings-peduli-laksanakan-aksi-bersih-sungai-wonorejo-bersama-waste4change/;
https://www.idntimes.com/news/indonesia/aksi-bersih-mandiri-02-hs754-w1hckl",https://kiprahagroforestri.id/wp-content/uploads/2025/11/w4change.png
